max_in_o,min_in_o,mean_in_o,median_in_o,std_in_o,var_in_o,fquan_in_o,lquan_in_o,skew_in_o,max_out_o,min_out_o,mean_out_o,median_out_o,std_out_o,var_out_o,fquan_out_o,lquan_out_o,skew_out_o,max_O_conc,min_O_conc,mean_O_conc,median_O_conc,std_O_conc,var_O_conc,fquan_O_conc,lauqn_O_conc,skew_O_conc,max_B,min_B,mean_B,median_B,std_B,var_B,fquan_B,lquan_B,skew_B,inCount,outCount,inSize,outSize,el1,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,el21,el22,el23,el24,el25,el26,el27,el28,el29,el30,el31,el32,el33,el34,el35,el36,el37,el38,el39,el40,el41,el42,el43,el44,el45,el46,el47,el48,el49,el50,el51,el52,el53,el54,el55,el56,el57,el58,el59,el60,el61,el62,el63,el64,el65,el66,el67,el68,el69,el70,el71,el72,el73,el74,el75,el76,el77,el78,el79,el80,el81,el82,el83,el84,el85,el86,el87,el88,el89,el90,el91,el92,el93,el94,el95,el96,el97,el98,el99,el100,el101,label
81,2,25.0,29.90909090909091,512.5674931129478,22.639953469761103,12.0,42.0,0.8380657353043495,79,1,52.5,48.625,427.4010416666667,20.67367992561234,32.75,65.25,-0.48023924674224094,21,10,15.5,15.5,30.25,5.5,12.75,18.25,0.0,1.7529771327972412,0.04795694351196289,0.16144394874572754,0.27116541509275083,0.10265521174884894,0.32039852020390003,0.11996042728424072,0.30951154232025146,3.6586945500216506,33,48,23900,68618,-536.0,383.82,840.36,1151.46,2071.28,2324.9,1810.92,2730.74,3650.56,4570.38,5490.2,6410.02,7329.84,8249.66,8097.48,7945.3,8066.88,7640.94,7488.76,8408.58,9328.4,8827.78,7907.96,6988.14,6068.32,5148.5,4228.68,3308.86,2389.04,1469.22,549.4,-370.42,-1290.24,-2210.06,-2410.12,-1490.3,-1753.52,-954.66,-34.84,803.02,732.8,1063.38,143.56,-776.26,-1696.08,-2615.9,-3535.72,-4455.54,-5375.36,-6295.18,-5621.0,-6034.82,-6954.64,-7874.46,-8794.28,-9714.1,-10633.92,-11553.74,-12473.56,-12938.62,-12213.2,-13133.02,-14052.84,-14972.66,-15892.48,-16812.3,-17732.12,-18651.94,-19571.76,-20491.58,-21411.4,-22331.22,-23251.04,-24170.86,-25090.68,-26010.5,-26930.32,-27850.14,-28769.96,-29294.22,-29537.6,-30457.42,-31377.24,-32297.06,-33216.88,-34136.7,-35056.52,-35976.34,-36896.16,-37815.98,-38735.8,-39655.62,-40575.44,-41495.26,-42415.08,-43334.9,-44254.72,-44102.54,-45022.36,-45637.82,-44718.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
82,1,41.5,41.5,560.25,23.66960075708925,21.25,61.75,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,82,0,93120,0,536.0,1461.84,2387.68,3313.52,4239.36,5165.2,6091.04,7016.88,7942.72,8868.56,9794.4,10720.24,11646.08,12571.92,13497.76,14423.6,15349.44,16275.28,17201.12,18126.96,19052.8,19978.64,20904.48,21830.32,22756.16,23682.0,24607.84,25533.68,26459.52,27385.36,28311.2,29237.04,30162.88,31088.72,32014.56,32940.4,33866.24,34792.08,35717.92,36643.76,37569.6,38495.44,39421.28,40347.12,41272.96,42198.8,43124.64,44050.48,44976.32,45902.16,46828.0,47753.84,48679.68,49605.52,50531.36,51457.2,52383.04,53308.88,54234.72,55160.56,56086.4,57012.24,57938.08,58863.92,59789.76,60715.6,61641.44,62567.28,63493.12,64418.96,65344.8,66270.64,67196.48,68122.32,69048.16,69974.0,70899.84,71825.68,72751.52,73677.36,74603.2,75529.04,76454.88,77380.72,78306.56,79232.4,80158.24,81084.08,82009.92,82935.76,83861.6,84787.44,85713.28,86639.12,87564.96,88490.8,89416.64,90342.48,91268.32,92194.16,93120.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
85,1,43.0,43.0,602.0,24.535688292770594,22.0,64.0,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,85,0,98458,0,1050.0,2024.08,2998.16,3972.24,4946.32,5920.4,6894.48,7868.56,8842.64,9816.72,10790.8,11764.88,12738.96,13713.04,14687.12,15661.2,16635.28,17609.36,18583.44,19557.52,20531.6,21505.68,22479.76,23453.84,24427.92,25402.0,26376.08,27350.16,28324.24,29298.32,30272.4,31246.48,32220.56,33194.64,34168.72,35142.8,36116.88,37090.96,38065.04,39039.12,40013.2,40987.28,41961.36,42935.44,43909.52,44883.6,45857.68,46831.76,47805.84,48779.92,49754.0,50728.08,51702.16,52676.24,53650.32,54624.4,55598.48,56572.56,57546.64,58520.72,59494.8,60468.88,61442.96,62417.04,63391.12,64365.2,65339.28,66313.36,67287.44,68261.52,69235.6,70209.68,71183.76,72157.84,73131.92,74106.0,75080.08,76054.16,77028.24,78002.32,78976.4,79950.48,80924.56,81898.64,82872.72,83846.8,84820.88,85794.96,86769.04,87743.12,88717.2,89691.28,90665.36,91639.44,92613.52,93587.6,94561.68,95535.76,96509.84,97483.92,98458.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
78,2,45.5,43.196969696969695,485.1884756657484,22.026994249460103,26.25,61.75,-0.23796970315790356,41,1,15.5,19.166666666666668,137.80555555555554,11.739061101960223,12.75,24.75,0.5725751202759191,9,3,6.0,6.0,9.0,3.0,4.5,7.5,0.0,3.4768829345703125,0.12636494636535645,0.283646821975708,0.6293910099909856,0.8836321193452418,0.94001708460285,0.139909029006958,0.4259350299835205,2.250558088245735,66,12,82980,9560,-536.0,384.04,1304.08,2063.88,2072.16,2992.2,3912.24,4727.72,3807.68,2887.64,1967.6,1047.56,127.52,-792.52,-343.44,-495.4,424.64,843.32,1192.72,2112.76,3032.8,3952.84,4872.88,5792.92,6712.96,7633.0,8553.04,9473.08,10393.12,11313.16,12233.2,13153.24,14073.28,13954.68,14841.36,15761.4,16681.44,16618.52,17046.48,17297.56,18217.6,19137.64,20057.68,20977.72,21897.76,22817.8,23737.84,24657.88,25577.92,26497.96,27418.0,28338.04,29258.08,30178.12,31098.16,32018.2,32938.24,33858.28,34778.32,35698.36,36618.4,37538.44,38458.48,39378.52,40298.56,41218.6,42138.64,43058.68,43978.72,44898.76,45818.8,46738.84,47658.88,48578.92,49498.96,50419.0,51339.04,52259.08,53179.12,54099.16,55019.2,55939.24,56859.28,57779.32,58699.36,59619.4,60539.44,61459.48,62379.52,63299.56,64219.6,65139.64,66059.68,66979.72,67899.76,68819.8,69739.84,70659.88,71579.92,72499.96,73420.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
91,1,46.0,46.0,690.0,26.267851073127396,23.5,68.5,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,91,0,102680,0,536.0,1557.44,2578.88,3600.32,4621.76,5643.2,6664.64,7686.08,8707.52,9728.96,10750.4,11771.84,12793.28,13814.72,14836.16,15857.6,16879.04,17900.48,18921.92,19943.36,20964.8,21986.24,23007.68,24029.12,25050.56,26072.0,27093.44,28114.88,29136.32,30157.76,31179.2,32200.64,33222.08,34243.52,35264.96,36286.4,37307.84,38329.28,39350.72,40372.16,41393.6,42415.04,43436.48,44457.92,45479.36,46500.8,47522.24,48543.68,49565.12,50586.56,51608.0,52629.44,53650.88,54672.32,55693.76,56715.2,57736.64,58758.08,59779.52,60800.96,61822.4,62843.84,63865.28,64886.72,65908.16,66929.6,67951.04,68972.48,69993.92,71015.36,72036.8,73058.24,74079.68,75101.12,76122.56,77144.0,78165.44,79186.88,80208.32,81229.76,82251.2,83272.64,84294.08,85315.52,86336.96,87358.4,88379.84,89401.28,90422.72,91444.16,92465.6,93487.04,94508.48,95529.92,96551.36,97572.8,98594.24,99615.68,100637.12,101658.56,102680.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
75,1,38.0,38.0,468.6666666666667,21.64871050817269,19.5,56.5,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,75,0,91468,0,536.0,1445.32,2354.64,3263.96,4173.28,5082.6,5991.92,6901.24,7810.56,8719.88,9629.2,10538.52,11447.84,12357.16,13266.48,14175.8,15085.12,15994.44,16903.76,17813.08,18722.4,19631.72,20541.04,21450.36,22359.68,23269.0,24178.32,25087.64,25996.96,26906.28,27815.6,28724.92,29634.24,30543.56,31452.88,32362.2,33271.52,34180.84,35090.16,35999.48,36908.8,37818.12,38727.44,39636.76,40546.08,41455.4,42364.72,43274.04,44183.36,45092.68,46002.0,46911.32,47820.64,48729.96,49639.28,50548.6,51457.92,52367.24,53276.56,54185.88,55095.2,56004.52,56913.84,57823.16,58732.48,59641.8,60551.12,61460.44,62369.76,63279.08,64188.4,65097.72,66007.04,66916.36,67825.68,68735.0,69644.32,70553.64,71462.96,72372.28,73281.6,74190.92,75100.24,76009.56,76918.88,77828.2,78737.52,79646.84,80556.16,81465.48,82374.8,83284.12,84193.44,85102.76,86012.08,86921.4,87830.72,88740.04,89649.36,90558.68,91468.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
80,2,42.0,41.171052631578945,538.5365304709142,23.206389862943226,20.75,61.25,-0.020286502043464518,42,1,34.0,27.75,261.6875,16.17675801883678,22.0,39.75,-0.8753237003994798,2,2,2.0,2.0,0.0,0.0,2.0,2.0,nan,2.190925121307373,0.12571406364440918,0.15794110298156738,0.8340176105499267,0.7685735686613179,0.876683277279382,0.12577080726623535,1.5697369575500488,0.5571212716627755,76,4,94508,2144,-536.0,425.16,1386.32,2347.48,3308.64,4269.8,5230.96,6192.12,7153.28,8114.44,9075.6,10036.76,10997.92,11959.08,12920.24,13881.4,14842.56,15803.72,16764.88,17726.04,18687.2,19648.36,20609.52,21570.68,22531.84,22421.0,23382.16,24343.32,25304.48,26265.64,27226.8,28187.96,29149.12,30110.28,31071.44,32032.6,32993.76,33954.92,33844.08,34538.76,34694.4,35655.56,36616.72,37577.88,38539.04,39500.2,40461.36,41422.52,42383.68,43344.84,44306.0,45267.16,46228.32,47189.48,48150.64,49111.8,50072.96,51034.12,51995.28,52956.44,53917.6,54878.76,55839.92,56801.08,57762.24,58723.4,59684.56,60645.72,61606.88,62568.04,63529.2,64490.36,65451.52,66412.68,67373.84,68335.0,69296.16,70257.32,71218.48,72179.64,73140.8,74101.96,75063.12,76024.28,76985.44,77946.6,78907.76,79868.92,80830.08,81791.24,82752.4,83713.56,84674.72,85635.88,86597.04,87558.2,88519.36,89480.52,90441.68,91402.84,92364.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
78,1,39.5,39.5,506.9166666666667,22.51480994071828,20.25,58.75,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,78,0,96762,0,536.0,1498.26,2460.52,3422.78,4385.04,5347.3,6309.56,7271.82,8234.08,9196.34,10158.6,11120.86,12083.12,13045.38,14007.64,14969.9,15932.16,16894.42,17856.68,18818.94,19781.2,20743.46,21705.72,22667.98,23630.24,24592.5,25554.76,26517.02,27479.28,28441.54,29403.8,30366.06,31328.32,32290.58,33252.84,34215.1,35177.36,36139.62,37101.88,38064.14,39026.4,39988.66,40950.92,41913.18,42875.44,43837.7,44799.96,45762.22,46724.48,47686.74,48649.0,49611.26,50573.52,51535.78,52498.04,53460.3,54422.56,55384.82,56347.08,57309.34,58271.6,59233.86,60196.12,61158.38,62120.64,63082.9,64045.16,65007.42,65969.68,66931.94,67894.2,68856.46,69818.72,70780.98,71743.24,72705.5,73667.76,74630.02,75592.28,76554.54,77516.8,78479.06,79441.32,80403.58,81365.84,82328.1,83290.36,84252.62,85214.88,86177.14,87139.4,88101.66,89063.92,90026.18,90988.44,91950.7,92912.96,93875.22,94837.48,95799.74,96762.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
81,1,41.0,41.0,546.6666666666666,23.38090388900024,21.0,61.0,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,81,0,96182,0,536.0,1492.46,2448.92,3405.38,4361.84,5318.3,6274.76,7231.22,8187.68,9144.14,10100.6,11057.06,12013.52,12969.98,13926.44,14882.9,15839.36,16795.82,17752.28,18708.74,19665.2,20621.66,21578.12,22534.58,23491.04,24447.5,25403.96,26360.42,27316.88,28273.34,29229.8,30186.26,31142.72,32099.18,33055.64,34012.1,34968.56,35925.02,36881.48,37837.94,38794.4,39750.86,40707.32,41663.78,42620.24,43576.7,44533.16,45489.62,46446.08,47402.54,48359.0,49315.46,50271.92,51228.38,52184.84,53141.3,54097.76,55054.22,56010.68,56967.14,57923.6,58880.06,59836.52,60792.98,61749.44,62705.9,63662.36,64618.82,65575.28,66531.74,67488.2,68444.66,69401.12,70357.58,71314.04,72270.5,73226.96,74183.42,75139.88,76096.34,77052.8,78009.26,78965.72,79922.18,80878.64,81835.1,82791.56,83748.02,84704.48,85660.94,86617.4,87573.86,88530.32,89486.78,90443.24,91399.7,92356.16,93312.62,94269.08,95225.54,96182.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
83,1,42.0,42.0,574.0,23.958297101421877,21.5,62.5,0.0,0,0,nan,nan,nan,nan,0,0,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,nan,0,0,nan,83,0,97320,0,536.0,1503.84,2471.68,3439.52,4407.36,5375.2,6343.04,7310.88,8278.72,9246.56,10214.4,11182.24,12150.08,13117.92,14085.76,15053.6,16021.44,16989.28,17957.12,18924.96,19892.8,20860.64,21828.48,22796.32,23764.16,24732.0,25699.84,26667.68,27635.52,28603.36,29571.2,30539.04,31506.88,32474.72,33442.56,34410.4,35378.24,36346.08,37313.92,38281.76,39249.6,40217.44,41185.28,42153.12,43120.96,44088.8,45056.64,46024.48,46992.32,47960.16,48928.0,49895.84,50863.68,51831.52,52799.36,53767.2,54735.04,55702.88,56670.72,57638.56,58606.4,59574.24,60542.08,61509.92,62477.76,63445.6,64413.44,65381.28,66349.12,67316.96,68284.8,69252.64,70220.48,71188.32,72156.16,73124.0,74091.84,75059.68,76027.52,76995.36,77963.2,78931.04,79898.88,80866.72,81834.56,82802.4,83770.24,84738.08,85705.92,86673.76,87641.6,88609.44,89577.28,90545.12,91512.96,92480.8,93448.64,94416.48,95384.32,96352.16,97320.0,0-k6m3fagp4w4wspmdt23fldnwrmknse74gmxosswvaxf3ciasficpenad.onion
